# x_m,y_m,w_tr_right_m,w_tr_left_m
31.1590,-23.8878,1.0135,1.0135
31.2399,-23.9687,0.9874,0.9874
31.3208,-23.9687,1.0135,1.0135
31.4017,-24.0496,1.0296,1.0296
31.4826,-24.1305,1.0135,1.0135
31.5634,-24.2113,0.9874,0.9874
31.6443,-24.2113,1.0135,1.0135
31.7252,-24.2922,1.0296,1.0296
31.8061,-24.3731,1.0135,1.0135
31.8870,-24.4540,0.9874,0.9874
31.9679,-24.4540,0.9874,0.9874
32.0488,-24.5349,1.0135,1.0135
32.1297,-24.6158,1.0135,1.0135
32.2106,-24.6967,0.9874,0.9874
32.2915,-24.6967,0.9874,0.9874
32.3723,-24.7776,1.0135,1.0135
32.4532,-24.8585,1.0135,1.0135
32.5341,-24.9394,0.9874,0.9874
32.6150,-24.9394,0.9874,0.9874
32.6959,-25.0202,1.0135,1.0135
32.7768,-25.1011,1.0296,1.0296
32.8577,-25.1820,1.0135,1.0135
32.9386,-25.2629,0.9874,0.9874
33.0195,-25.2629,1.0135,1.0135
33.1004,-25.3438,1.0296,1.0296
33.1812,-25.4247,1.0135,1.0135
33.2621,-25.5056,0.9874,0.9874
33.3430,-25.5056,0.9874,0.9874
33.4239,-25.5865,1.0135,1.0135
33.5048,-25.6674,1.0135,1.0135
33.5857,-25.7483,0.9874,0.9874
33.6666,-25.7483,0.9874,0.9874
33.7475,-25.8291,1.0135,1.0135
33.8284,-25.9100,1.0296,1.0296
33.9093,-25.9909,1.0135,1.0135
33.9901,-26.0718,0.9874,0.9874
34.0710,-26.0718,1.0135,1.0135
34.1519,-26.1527,1.0296,1.0296
34.2328,-26.2336,1.0135,1.0135
34.3137,-26.3145,0.9874,0.9874
34.3946,-26.3145,1.0135,1.0135
34.4755,-26.3954,1.0296,1.0296
34.5564,-26.4763,1.0135,1.0135
34.6373,-26.5572,0.9874,0.9874
34.7182,-26.5572,0.9874,0.9874
34.7990,-26.6380,1.0135,1.0135
34.8799,-26.7189,1.0135,1.0135
34.9608,-26.7998,0.9874,0.9874
35.0417,-26.7998,0.9874,0.9874
35.1226,-26.8807,1.0135,1.0135
35.2035,-26.9616,1.0296,1.0296
35.2844,-27.0425,1.0135,1.0135
35.3653,-27.1234,0.9874,0.9874
35.4462,-27.1234,1.0135,1.0135
35.5271,-27.2043,1.0296,1.0296
35.6079,-27.2852,1.0135,1.0135
35.6888,-27.3661,0.9874,0.9874
35.7697,-27.3661,1.0135,1.0135
35.8506,-27.4469,1.0135,1.0135
35.9315,-27.5278,0.9874,0.9874
36.0124,-27.5278,1.0135,1.0135
36.0933,-27.6087,1.0135,1.0135
36.1742,-27.6896,0.9774,0.9774
36.2551,-27.6896,1.0135,1.0135
36.3360,-27.7705,0.9874,0.9874
36.4168,-27.7705,1.0135,1.0135
36.4977,-27.8514,1.0135,1.0135
36.5786,-27.8514,1.0135,1.0135
36.6595,-27.9323,1.0135,1.0135
36.7404,-27.9323,1.0135,1.0135
36.8213,-28.0132,1.0135,1.0135
36.9022,-28.0132,1.0135,1.0135
36.9831,-28.0941,1.0135,1.0135
37.0640,-28.0941,1.0135,1.0135
37.1449,-28.1750,1.0135,1.0135
37.2257,-28.1750,1.0135,1.0135
37.3066,-28.2558,1.0135,1.0135
37.3875,-28.2558,1.0135,1.0135
37.4684,-28.3367,1.0135,1.0135
37.5493,-28.3367,1.0135,1.0135
37.6302,-28.4176,1.0135,1.0135
37.7111,-28.4176,1.0135,1.0135
37.7920,-28.4985,1.0135,1.0135
37.8729,-28.4985,1.0135,1.0135
37.9538,-28.5794,1.0135,1.0135
38.0346,-28.5794,1.0135,1.0135
